Code,ICP Metadata Note,Long Name,Income Group,ICP Participation,Region,Regional Program,Currency Unit,Special Notes,Table Name
HKG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Hong Kong Special Administrative Region of the People's Republic of China,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,HKD: Hong Kong Dollar,,"Hong Kong SAR, China"
HUN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Hungary,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,HUF: Forint,,Hungary
ISL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Iceland,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,ISK: Iceland Krona,,Iceland
IND,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of India,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),South Asia (Benchmark),ICP Asia and the Pacific,INR: Indian Rupee,,India
IDN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Indonesia,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,IDR: Rupiah,,Indonesia
IRN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Islamic Republic of Iran,Lower middle income (Benchmark),ICP 2021: Non-participation| Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),,Non-participation,IRR: Iranian Rial,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency. For revised 2017, GDP expenditures were estimated by ICP Global Office.","Iran, Islamic Rep."
IRQ,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Iraq,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,IQD: Iraqi Dinar,,Iraq
IRL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Ireland,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Ireland
ISR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",State of Israel,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),Eurostat-OECD,ILS: New Israeli Sheqel,,Israel
ITA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Italian Republic,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Italy
JAM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Jamaica,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,JMD: Jamaican Dollar,,Jamaica
JPN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Japan,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),Eurostat-OECD,JPY: Yen,,Japan
JOR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Hashemite Kingdom of Jordan,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,JOD: Jordanian Dinar,,Jordan
KAZ,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Kazakhstan,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,KZT: Tenge,,Kazakhstan
KEN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Kenya,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,KES: Kenyan Shilling,,Kenya
KOR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Korea,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),Eurostat-OECD,KRW: Won,,"Korea, Rep."
XKX,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Kosovo,Upper middle income (Benchmark),ICP 2021: Partial participation (ICP surveys for individual consumption expenditure by households only) | Revised ICP 2017: Partial participation (ICP surveys for individual consumption expenditure by households only),Europe & Central Asia (Benchmark),ICP Special Participation,EUR: Euro,,Kosovo
KWT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",State of Kuwait,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,KWD: Kuwaiti Dinar,"Total GDP is the official figure from National Accounts; however, the main aggregates and therefore all levels are estimated by the regional implementing agency (United Nations Economic and Social Commission for Western Asia).",Kuwait
KGZ,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kyrgyz Republic,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,KGS: Som,,Kyrgyz Republic
LAO,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Lao People's Democratic Republic,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,LAK: Lao Kip,,Lao PDR
LVA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Latvia,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Latvia
LBN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Lebanese Republic,Lower middle income (Benchmark),ICP 2021: Full-Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full-Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,LBP: Lebanese Pound,"GDP expenditures are estimates by the regional implementing agency (United Nations Economic and Social Commission for Western Asia). For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Lebanon
LSO,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Lesotho,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,LSL: Loti,,Lesotho
LBR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Liberia,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,LRD: Liberian Dollar,,Liberia
LBY,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Socialist People's Libyan Arab Jamahiriya,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,LYD: Libyan Dinar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Libya
LTU,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Lithuania,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Lithuania
LUX,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Grand Duchy of Luxembourg,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Luxembourg
MAC,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Macao Special Administrative Region of the People's Republic of China,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,MOP: Pataca,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.","Macao SAR, China"
MDG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Madagascar,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,MGA: Malagasy Ariary,,Madagascar
MWI,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Malawi,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,MWK: Malawi Kwacha,,Malawi
MYS,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Malaysia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,MYR: Malaysian Ringgit,,Malaysia
MDV,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Maldives,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),South Asia (Benchmark),ICP Asia and the Pacific,MVR: Rufiyaa,,Maldives
MLI,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Mali,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XOF: CFA Franc BCEAO,,Mali
MLT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Malta,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),Eurostat-OECD,EUR: Euro,,Malta
MRT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Islamic Republic of Mauritania,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa &  ICP Western Asia (dual participation),MRU: Ouguiya,,Mauritania
MUS,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Mauritius,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,MUR: Mauritius Rupee,,Mauritius
MEX,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",United Mexican States,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),Eurostat-OECD,MXN: Mexican Peso,,Mexico
MDA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Moldova,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,MDL: Moldovan Leu,,Moldova
MNG,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Mongolia,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,MNT: Tugrik,,Mongolia
MNE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Montenegro,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Montenegro
MSR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Montserrat,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,XCD: East Caribbean Dollar,,Montserrat
MAR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Morocco,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Africa &  ICP Western Asia (dual participation),MAD: Moroccan Dirham,,Morocco
MOZ,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Mozambique,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,MZN: Mozambique Metical,,Mozambique
MMR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of the Union of Myanmar,,ICP 2021: Non-participation| Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),,Non-participation,MMK: Kyat,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Myanmar
NAM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Namibia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,NAD: Namibia Dollar,,Namibia
NPL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Nepal,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),South Asia (Benchmark),ICP Asia and the Pacific,NPR: Nepalese Rupee,,Nepal
NLD,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of the Netherlands,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Netherlands
NZL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",New Zealand,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),Eurostat-OECD,NZD: New Zealand Dollar,,New Zealand
NIC,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Nicaragua,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,NIO: Cordoba Oro,,Nicaragua
NER,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Niger,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XOF: CFA Franc BCEAO,,Niger
NGA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Federal Republic of Nigeria,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,NGN: Naira,,Nigeria
MKD,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of North Macedonia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,MKD: Denar,,North Macedonia
NOR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Norway,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,NOK: Norwegian Krone,,Norway
OMN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Sultanate of Oman,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,OMR: Rial Omani,,Oman
PAK,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Islamic Republic of Pakistan,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),South Asia (Benchmark),ICP Asia and the Pacific,PKR: Pakistan Rupee,,Pakistan
PAN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Panama,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,PAB: Balboa,,Panama
PRY,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Paraguay,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,PYG: Guarani,,Paraguay
PER,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Peru,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Latin America & Caribbean (Benchmark),ICP Latin America and the Caribbean,PEN: Sol,,Peru
PHL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of the Philippines,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,PHP: Philippine Peso,,Philippines
POL,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Poland,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,PLN: Zloty,,Poland
PRT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Portuguese Republic,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Portugal
PRI,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Puerto Rico,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,USD: US Dollar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Puerto Rico
QAT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",State of Qatar,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,QAR: Qatari Rial,,Qatar
ROU,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Romania,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,RON: Romanian Leu,,Romania
RUT,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Russian Federation,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),ICP Commonwealth of Independent States,RUB: Russian Ruble,,Russian Federation
RWA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Rwanda,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,RWF: Rwanda Franc,,Rwanda
SMR,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of San Marino,,ICP 2021: Non-participation| Revised ICP 2017: Non-participation,,Non-participation,EUR: Euro,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",San Marino
STP,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Democratic Republic of São Tomé and Principe,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,STN: Dobra,,Sao Tome and Principe
SAU,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Saudi Arabia,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Middle East & North Africa (Benchmark),ICP Western Asia,SAR: Saudi Riyal,,Saudi Arabia
SEN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Senegal,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,XOF: CFA Franc BCEAO,,Senegal
SRB,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Serbia,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,RSD: Serbian Dinar,,Serbia
SYC,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Seychelles,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,SCR: Seychelles Rupee,,Seychelles
SLE,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Sierra Leone,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,SLL: Sierra Leonean Leone,,Sierra Leone
SGP,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Singapore,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),East Asia & Pacific (Benchmark),ICP Asia and the Pacific,SGD: Singapore Dollar,,Singapore
SXM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Sint Maarten (Dutch part),,ICP 2021: Non-participation| Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),,Non-participation,ANG: Netherlands Antillean Guilder,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Sint Maarten
SVK,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Slovak Republic,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Slovak Republic
SVN,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of Slovenia,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Slovenia
SOM,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Somali Democratic Republic,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Non-participation,Sub-Saharan Africa (Benchmark),ICP Africa,USD: US Dollar,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",Somalia
ZAF,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of South Africa,Upper middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Sub-Saharan Africa (Benchmark),ICP Africa,ZAR: Rand,,South Africa
SSD,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Republic of South Sudan,Low income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Non-participation,Sub-Saharan Africa (Benchmark),ICP Africa,SSP: South Sudanese Pound,"For the estimation of PPPs for non-participation, all the input data were based on internal estimates by ICP Global Office, unless required data were available from the country or the regional agency.",South Sudan
ESP,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Kingdom of Spain,High income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),Europe & Central Asia (Benchmark),Eurostat-OECD,EUR: Euro,,Spain
LKA,"These metadata are specific for the 2021 International Comparison Program (Benchmark), unless otherwise stated.",Democratic Socialist Republic of Sri Lanka,Lower middle income (Benchmark),ICP 2021: Full Participation (ICP surveys for full ICP classification) | Revised ICP 2017: Full Participation (ICP surveys for full ICP classification),South Asia (Benchmark),ICP Asia and the Pacific,LKR: Sri Lanka Rupee,,Sri Lanka
